EarTagNumberCurrent	EarTagNumberOriginal	StrainName	Diet	Sex	Status	AgeAtDeath	DateOfBirth	DateDietStart	DateOfDeath	AgeAtSetUp	Weight00 Baseline	DateWeightBaseline	Weight01	Weight02	Weight03	Weight04	Weight05	Weight06	Weight07	Weight08	Weight09	Weight10	Weight11	Weight12	Weight13	Weight14	Weight15	Weight16	Weight17	Weight18	Weight19	Weight20	AgeAtWeight01	AgeAtWeight02	AgeAtWeight03	AgeAtWeight04	AgeAtWeight05	AgeAtWeight06	AgeAtWeight07	AgeAtWeight08	AgeAtWeight09	AgeAtWeight10	AgeAtWeight11	AgeAtWeight12	AgeAtWeight13	AgeAtWeight14	AgeAtWeight15	AgeAtWeight16	AgeAtWeight17	AgeAtWeight18	AgeAtWeight19	AgeAtWeight20	DateWeight01	DateWeight02	DateWeight03	DateWeight04	DateWeight05	DateWeight06	DateWeight07	DateWeight08	DateWeight09	DateWeight10	DateWeight11	DateWeight12	DateWeight13	DateWeight14	DateWeight15	DateWeight16	DateWeight17	DateWeight18	DateWeight19	DateWeight20	DaysOnDietAtWeight01	DaysOnDietAtWeight02	DaysOnDietAtWeight03	DaysOnDietAtWeight04	DaysOnDietAtWeight05	DaysOnDietAtWeight06	DaysOnDietAtWeight07	DaysOnDietAtWeight08	DaysOnDietAtWeight09	DaysOnDietAtWeight10	DaysOnDietAtWeight11	DaysOnDietAtWeight12	DaysOnDietAtWeight13	DaysOnDietAtWeight14	DaysOnDietAtWeight15	DaysOnDietAtWeight16	DaysOnDietAtWeight17	DaysOnDietAtWeight18	DaysOnDietAtWeight19	DaysOnDietAtWeight20
2889	2889	BXD44	NAM	F	Euthanized	746	09/24/2018	03/25/2019	10/09/2020	182	21.5	03/25/2019	18	19.8	20.1	21.1	21.6	27.7	30.6	34.6	36.2	39.2	42.4	46	49.4	50.5	48.7	34.3					189	196	203	210	224	254	291	329	361	396	429	490	534	585	625	688					04/01/2019	04/08/2019	04/15/2019	04/22/2019	05/06/2019	06/05/2019	07/12/2019	08/19/2019	09/20/2019	10/25/2019	11/27/2019	01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020					7	14	21	28	42	72	109	147	179	214	247	308	352	403	443	506				
2890	2890	BXD44	NAM	F	Euthanized	429	09/24/2018	03/25/2019	11/27/2019	182	19.9	03/25/2019	18.6	19	18.8	19.9	20.5	21.8	24.3	23.2	24.5	23.2	19.8										189	196	203	210	224	254	291	329	361	396	429										04/01/2019	04/08/2019	04/15/2019	04/22/2019	05/06/2019	06/05/2019	07/12/2019	08/19/2019	09/20/2019	10/25/2019	11/27/2019										7	14	21	28	42	72	109	147	179	214	247									
2891	2891	DBA/2J	NAM	F	Euthanized	440	10/25/2018	03/25/2019	01/08/2020	151	20.4	03/25/2019	15.9	23.8	24.3	22.8	25.4	30.8	30.1	33	35.8	37.6	39.3	24.8									158	165	172	179	193	223	260	298	330	365	398	440									04/01/2019	04/08/2019	04/15/2019	04/22/2019	05/06/2019	06/05/2019	07/12/2019	08/19/2019	09/20/2019	10/25/2019	11/27/2019	01/08/2020									7	14	21	28	42	72	109	147	179	214	247	289								
2892	2892	DBA/2J	NAM	F	Euthanized	545	10/25/2018	03/25/2019	04/22/2020	151	23.9	03/25/2019	17	17	22	22.9	22.8	28	30.9	37.2	38.4	39.4	42.6	45.8	40.3								158	165	172	179	193	223	260	298	330	365	398	459	503								04/01/2019	04/08/2019	04/15/2019	04/22/2019	05/06/2019	06/05/2019	07/12/2019	08/19/2019	09/20/2019	10/25/2019	11/27/2019	01/27/2020	03/11/2020								7	14	21	28	42	72	109	147	179	214	247	308	352							
2923	2923	DBA/2J	NAM	F	Natural	741	10/28/2018	05/16/2019	11/07/2020	200	24.2	05/16/2019	25.2	24.1	31.6	30.6	31.8	34.6	36.8	38.8	36.2	37.1	37	33.3	26.7								204	220	257	295	327	362	395	456	500	551	591	654	723								05/20/2019	06/05/2019	07/12/2019	08/19/2019	09/20/2019	10/25/2019	11/27/2019	01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020								4	20	57	95	127	162	195	256	300	351	391	454	523							
2924	2924	DBA/2J	NAM	F	Euthanized	591	10/28/2018	05/16/2019	06/10/2020	200	22.1	05/16/2019	22.3	22.1	27.4	30.4	31.7	36.8	39.6	38.8	38.3	38.8	34										204	220	257	295	327	362	395	456	500	551	591										05/20/2019	06/05/2019	07/12/2019	08/19/2019	09/20/2019	10/25/2019	11/27/2019	01/27/2020	03/11/2020	05/01/2020	06/10/2020										4	20	57	95	127	162	195	256	300	351	391									
2925	2925	DBA/2J	NAM	F	Natural	524	08/01/2018	05/16/2019	01/07/2020	288	23.2	05/16/2019	22.2	24.2	26.5	28.1	29.8	30.8	30.2														292	308	345	383	415	450	483														05/20/2019	06/05/2019	07/12/2019	08/19/2019	09/20/2019	10/25/2019	11/27/2019														4	20	57	95	127	162	195													
2926	2926	DBA/2J	NAM	F	Euthanized	643	08/01/2018	05/16/2019	05/05/2020	288	22.9	05/16/2019	24	26.4	27.4	24.8	26.7	27.4	25.8	23.8	24	23.2											292	308	345	383	415	450	483	544	588	639											05/20/2019	06/05/2019	07/12/2019	08/19/2019	09/20/2019	10/25/2019	11/27/2019	01/27/2020	03/11/2020	05/01/2020											4	20	57	95	127	162	195	256	300	351										
2981	2981	BXD51	NAM	F	Harvest	684	04/26/2019	10/25/2019	03/10/2021	182	26.5	10/25/2019	30.5	43.8	50	62.6	65.8	67.6	70.6	70.8	68.4												215	276	320	371	411	474	543	593	671												11/27/2019	01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020	02/25/2021												33	94	138	189	229	292	361	411	489											
2985	2985	C57BL/6J	NAM	F	Harvest	655	06/01/2019	12/03/2019	03/17/2021	185	23.9	12/03/2019	32.4	38	44.8	47.5	49.5	52.8	51	44.8													240	284	335	375	438	507	557	635													01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020	02/25/2021													55	99	150	190	253	322	372	450												
2986	2986	C57BL/6J	NAM	F	Euthanized	776	06/01/2019	12/03/2019	07/16/2021	185	26.2	12/03/2019	35.1	37.8	45.7	46.3	48.3	50	49.3	50.2	50	46.3	45.6										240	284	335	375	438	507	557	635	690	752	776										01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020	02/25/2021	04/21/2021	06/22/2021	07/16/2021										55	99	150	190	253	322	372	450	505	567	591									
2987	2987	BXD169	NAM	F	Harvest	622	07/04/2019	01/10/2020	03/17/2021	190	19.6	01/10/2020	20.8	23.6	31.8	36.8	48	52.2	57.6	52.5													207	251	302	342	405	474	524	602													01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020	02/25/2021													17	61	112	152	215	284	334	412												
2988	2988	BXD169	NAM	F	Natural	703	07/04/2019	01/10/2020	06/06/2021	190	26.8	01/10/2020	29.8	37.8	41.4	45.7	55.1	59.2	64.3	64.8	48.7												207	251	302	342	405	474	524	602	657												01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020	02/25/2021	04/21/2021												17	61	112	152	215	284	334	412	467											
2989	2989	BXD169	NAM	F	Natural	687	07/04/2019	01/10/2020	05/21/2021	190	21.3	01/10/2020	25.2	30.8	33.8	37.7	44.3	44.8	34.3	31.2	26.4												207	251	302	342	405	474	524	602	657												01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020	02/25/2021	04/21/2021												17	61	112	152	215	284	334	412	467											
2992	2992	BXD202	NAM	F	Euthanized	557	07/08/2019	01/10/2020	01/15/2021	186	25.5	01/10/2020	23.5	28.8	32.5	32.8	34.6	33.6	28.4														203	247	298	338	401	470	520														01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020														17	61	112	152	215	284	334													
2993	2993	BXD202	NAM	F	Euthanized	743	07/08/2019	01/10/2020	07/20/2021	186	24.8	01/10/2020	26	28.5	30.6	33	31.5	36.9	36	33.5	30.4	28.7	25.4										203	247	298	338	401	470	520	598	653	715	743										01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020	02/25/2021	04/21/2021	06/22/2021	07/20/2021										17	61	112	152	215	284	334	412	467	529	557									
3038	2994	BXD218	NAM	F	Euthanized	931	07/09/2019	01/10/2020	01/25/2022	185	24.2	01/10/2020	25.8	30.5	31.4	35.9	37.2	40.1	40.2	40.7	34.8	25.2	22.2	21.3	21.1								202	246	297	337	400	469	519	597	652	714	778	841	924								01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020	02/25/2021	04/21/2021	06/22/2021	08/25/2021	10/27/2021	01/18/2022								17	61	112	152	215	284	334	412	467	529	593	656	739							
2995	2995	BXD218	NAM	F	Euthanized	890	07/09/2019	01/10/2020	12/15/2021	185	22.9	01/10/2020	24.5	27.8	32	37	39.5	41	40.6	41	37.5	30.4	27.8	22.8	27.1								202	246	297	337	400	469	519	597	652	714	778	841	890								01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020	02/25/2021	04/21/2021	06/22/2021	08/25/2021	10/27/2021	12/15/2021								17	61	112	152	215	284	334	412	467	529	593	656	705							
2996	2996	BXD218	NAM	F	Natural	881	07/09/2019	01/10/2020	12/06/2021	185	24.9	01/10/2020	25.3	28.5	27.7	29.7	32	33.7	32.4	35.6	34.1	28.4	26.1	24									202	246	297	337	400	469	519	597	652	714	778	841									01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020	02/25/2021	04/21/2021	06/22/2021	08/25/2021	10/27/2021									17	61	112	152	215	284	334	412	467	529	593	656								
2999	2999	BXD170	NAM	F	Euthanized	314	07/10/2019	01/10/2020	05/19/2020	184	24.1	01/10/2020	23.9	26.1	20.9	19.5																	201	245	296	314																	01/27/2020	03/11/2020	05/01/2020	05/19/2020																	17	61	112	130																
3000	3000	BXD170	NAM	F	Euthanized	240	07/10/2019	01/10/2020	03/06/2020	184	24	01/10/2020	21.8	17.7																			201	240																			01/27/2020	03/06/2020																			17	56																		
3037	3001	BXD172	NAM	F	Harvest	609	07/10/2019	01/10/2020	03/10/2021	184	28.6	01/10/2020	34.4	38.4	45.5	49.8	57.1	54.6	54.4	61.5													201	245	296	336	399	468	518	596													01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020	02/25/2021													17	61	112	152	215	284	334	412												
3036	3002	BXD172	NAM	F	Euthanized	812	07/10/2019	01/10/2020	09/29/2021	184	28.3	01/10/2020	29.8	34.3	39.9	46.2	52.3	57.4	58.8	61.7	61.3	50.8	39.3										201	245	296	336	399	468	518	596	651	713	777										01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020	02/25/2021	04/21/2021	06/22/2021	08/25/2021										17	61	112	152	215	284	334	412	467	529	593									
3035	3003	BXD172	NAM	F	Natural	811	07/10/2019	01/10/2020	09/28/2021	184	27.3	01/10/2020	28	34.5	40.7	49.5	59.9	68.7	71.1	78.8	78.3	32.7	51.2										201	245	296	336	399	468	518	596	651	713	777										01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020	02/25/2021	04/21/2021	06/22/2021	08/25/2021										17	61	112	152	215	284	334	412	467	529	593									
3006	3006	BXD61	NAM	F	Harvest	608	07/11/2019	01/17/2020	03/10/2021	190	29.4	01/17/2020	30.5	37.2	41.9	46.4	53.5	58.9	63.8	71.7													200	244	295	335	398	467	517	595													01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020	02/25/2021													10	54	105	145	208	277	327	405												
3007	3007	BXD61	NAM	F	Euthanized	291	07/11/2019	01/17/2020	04/27/2020	190	37.4	01/17/2020	39.3	48.8																			200	244																			01/27/2020	03/11/2020																			10	54																		
3010	3010	BXD194	NAM	F	Natural	468	07/23/2019	01/17/2020	11/02/2020	178	27.1	01/17/2020	25.1	30.5	38.7	42.1	43.6	45.5															188	232	283	323	386	455															01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020															10	54	105	145	208	277														
3011	3011	BXD194	NAM	F	Harvest	596	07/23/2019	01/17/2020	03/10/2021	178	26.8	01/17/2020	26.6	32	39.4	42.5	43.9	45.2	44.2	45.2													188	232	283	323	386	455	505	583													01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020	02/25/2021													10	54	105	145	208	277	327	405												
3012	3012	BXD194	NAM	F	Natural	768	07/23/2019	01/17/2020	08/29/2021	178	26.8	01/17/2020	25.9	32.2	37.9	42	45.2	48.5	49.1	49.5	48.1	50.4	51.2										188	232	283	323	386	455	505	583	638	700	764										01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020	02/25/2021	04/21/2021	06/22/2021	08/25/2021										10	54	105	145	208	277	327	405	460	522	586									
3017	3017	BXD160	NAM	F	Euthanized	774	07/13/2019	01/17/2020	08/25/2021	188	28.3	01/17/2020	26.4	31	36.5	39.1	39.4	41.9	42.5	42.5	44.4	43.6	33.2	33.2									198	242	293	333	396	465	515	593	648	710	774	774									01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020	02/25/2021	04/21/2021	06/22/2021	08/25/2021	08/25/2021									10	54	105	145	208	277	327	405	460	522	586	586								
3019	3019	BXD101	NAM	F	Harvest	603	07/16/2019	01/17/2020	03/10/2021	185	28.3	01/17/2020	32.6	39.7	42.8	45.8	50.2	56.8	57.8	59.6													195	239	290	330	393	462	512	590													01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020	02/25/2021													10	54	105	145	208	277	327	405												
3020	3020	BXD101	NAM	F	Euthanized	714	07/16/2019	01/17/2020	06/29/2021	185	32.7	01/17/2020	36.9	45.2	47.3	52.5	56.4	62.6	64.3	64.5	51.8	63.6	27.6										195	239	290	330	393	462	512	590	645	707	714										01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020	02/25/2021	04/21/2021	06/22/2021	06/29/2021										10	54	105	145	208	277	327	405	460	522	529									
3021	3021	BXD101	NAM	F	Natural	606	07/16/2019	01/17/2020	03/13/2021	185	29.1	01/17/2020	33.3	37.9	42.9	43.7	48.3	53.9	52.3	60.1													195	239	290	330	393	462	512	590													01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020	02/25/2021													10	54	105	145	208	277	327	405												
3023	3023	BXD73	NAM	F	Harvest	603	07/16/2019	01/17/2020	03/10/2021	185	23.5	01/17/2020	23.8	27.5	32.6	35.6	34.9	36.5	36.8	39.8													195	239	290	330	393	462	512	590													01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020	02/25/2021													10	54	105	145	208	277	327	405												
3029	3029	BXD62	NAM	F	Euthanized	487	07/15/2019	01/22/2020	11/13/2020	191	21.9	01/22/2020	21.7	21.5	23.5	21.4	24.5	25.4	25.1														196	240	291	331	394	463	487														01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020	11/13/2020														5	49	100	140	203	272	296													
3030	3030	BXD62	NAM	F	Harvest	604	07/15/2019	01/22/2020	03/10/2021	191	19.9	01/22/2020	19.3	22.8	23	24.5	23.7	25.4	21.7	23.9													196	240	291	331	394	463	513	591													01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020	02/25/2021													5	49	100	140	203	272	322	400												
3031	3031	BXD62	NAM	F	Euthanized	271	07/15/2019	01/22/2020	04/11/2020	191	23.5	01/22/2020	25.7	23.1	31.3																		196	240	463																		01/27/2020	03/11/2020	10/20/2020																		5	49	272																	
3032	3032	DBA/2J	NAM	F	Euthanized	648	06/14/2019	01/22/2020	03/23/2021	222	30	01/22/2020	24.6	38.7	48.6	52.3	48.7	45	40.9														227	297	370	431	494	622	648														01/27/2020	04/06/2020	06/18/2020	08/18/2020	10/20/2020	02/25/2021	03/23/2021														5	75	148	209	272	400	426													
3033	3033	DBA/2J	NAM	F	Harvest	642	06/14/2019	01/22/2020	03/17/2021	222	25.6	01/22/2020	23.3	33.8	37.5	40.3	45.7	46.9	45.4	42.8													227	271	322	362	425	494	544	622													01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020	02/25/2021													5	49	100	140	203	272	322	400												
3034	3034	DBA/2J	NAM	F	Natural	684	06/14/2019	01/22/2020	04/28/2021	222	24.7	01/22/2020	24.5	31.7	34.9	34	38.4	40.3	37.4	38.7	30.4												227	271	322	362	425	494	544	622	677												01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020	02/25/2021	04/21/2021												5	49	100	140	203	272	322	400	455											
3088	3088	C57BL/6J	NAM	F	Euthanized	609	09/13/2019	03/19/2020	05/14/2021	188	19.5	03/19/2020	20.8	28.6	35.3	40.5	33	46.3	45.1	43.2													231	271	334	403	453	531	586	609													05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020	02/25/2021	04/21/2021	05/14/2021													43	83	146	215	265	343	398	421												
3089	3089	C57BL/6J	NAM	F	Euthanized	489	09/13/2019	03/19/2020	01/14/2021	188	20.7	03/19/2020	29	37.5	43.2	45.4	47																231	271	334	403	453																05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020																43	83	146	215	265															
3090	3090	C57BL/6J	NAM	F	Natural	716	09/13/2019	03/19/2020	08/29/2021	188	21.1	03/19/2020	27.1	34.4	42.2	45.7	48	54.8	53.1	54.6	34.5												231	271	334	403	453	531	586	648	712												05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020	02/25/2021	04/21/2021	06/22/2021	08/25/2021												43	83	146	215	265	343	398	460	524											
3091	3091	C57BL/6J	NAM	F	Natural	836	09/13/2019	03/19/2020	12/27/2021	188	19.5	03/19/2020	22.8	28.6	39.1	42.8	45.2	45.8	48.7	49.4	48	45.9											231	271	334	403	453	531	586	648	712	775											05/01/2020	06/10/2020	08/12/2020	10/20/2020	12/09/2020	02/25/2021	04/21/2021	06/22/2021	08/25/2021	10/27/2021											43	83	146	215	265	343	398	460	524	587										
3521	3521	BXD9	NAM	F	Natural	347	01/14/2021	04/21/2021	12/27/2021	97	23.6	04/21/2021	43.8	47.3	48.4																		159	225	286																		06/22/2021	08/27/2021	10/27/2021																		62	128	189																	
3522	3522	BXD9	NAM	F	Euthanized	634	01/14/2021	04/21/2021	10/10/2022	97	16.8	04/21/2021	33.1	35.6	43.3	51.6		54	52.9	35.6													159	223	286	369		494	566	634													06/22/2021	08/25/2021	10/27/2021	01/18/2022		05/23/2022	08/03/2022	10/10/2022													62	126	189	272		397	469	537												
3523	3523	BXD9	NAM	F	Euthanized	305	01/14/2021	04/21/2021	11/15/2021	97	26.5	04/21/2021	43	44.6	44.5																		159	223	286																		06/22/2021	08/25/2021	10/27/2021																		62	126	189																	
3524	3524	BXD9	NAM	F	Natural	628	01/14/2021	04/21/2021	10/04/2022	97	27.3	04/21/2021	46.2	49.4	51.6	53.2	55.4	52	46														159	225	286	369	434	494	566														06/22/2021	08/27/2021	10/27/2021	01/18/2022	03/24/2022	05/23/2022	08/03/2022														62	128	189	272	337	397	469													
3525	3525	BXD172	NAM	F	Euthanized	638	01/10/2021	04/21/2021	10/10/2022	101	23	04/21/2021	39.8	43	47.8	57.1	60	45.9	37.2	31.2													163	227	290	373	438	498	570	638													06/22/2021	08/25/2021	10/27/2021	01/18/2022	03/24/2022	05/23/2022	08/03/2022	10/10/2022													62	126	189	272	337	397	469	537												
3526	3526	BXD172	NAM	F	Euthanized	103	01/10/2021	04/21/2021	04/23/2021	101	21.9	04/21/2021																																																																																
3527	3527	BXD172	NAM	F	Euthanized	638	01/10/2021	04/21/2021	10/10/2022	101	20.6	04/21/2021	32	32.6	36.9	42.3	45.9	44.7	40.7	37.8	34.6												163	227	290	373	438	498	570	638	698												06/22/2021	08/25/2021	10/27/2021	01/18/2022	03/24/2022	05/23/2022	08/03/2022	10/10/2022	12/09/2022												62	126	189	272	337	397	469	537	597											
