EarTagNumberCurrent	EarTagNumberOriginal	StrainName	Diet	Sex	Status	AgeAtDeath	DateOfBirth	DateDietStart	DateOfDeath	AgeAtSetUp	Weight00 Baseline	DateWeightBaseline	Weight01	AgeAtWeight01	Weight02	AgeAtWeight02	Weight03	AgeAtWeight03	Weight04	AgeAtWeight04	Weight05	AgeAtWeight05	Weight06	AgeAtWeight06	Weight07	AgeAtWeight07	Weight08	AgeAtWeight08	Weight09	AgeAtWeight09	Weight10	AgeAtWeight10	Weight11	AgeAtWeight11	Weight12	AgeAtWeight12	Weight13	AgeAtWeight13	Weight14	AgeAtWeight14	Weight15	AgeAtWeight15	Weight16	AgeAtWeight16	Weight17	AgeAtWeight17	Weight18	AgeAtWeight18	Weight19	AgeAtWeight19	Weight20	AgeAtWeight20		DateWeight01	DateWeight02	DateWeight03	DateWeight04	DateWeight05	DateWeight06	DateWeight07	DateWeight08	DateWeight09	DateWeight10	DateWeight11	DateWeight12	DateWeight13	DateWeight14	DateWeight15	DateWeight16	DateWeight17	DateWeight18	DateWeight19	DateWeight20	DaysOnDietAtWeight01	DaysOnDietAtWeight02	DaysOnDietAtWeight03	DaysOnDietAtWeight04	DaysOnDietAtWeight05	DaysOnDietAtWeight06	DaysOnDietAtWeight07	DaysOnDietAtWeight08	DaysOnDietAtWeight09	DaysOnDietAtWeight10	DaysOnDietAtWeight11	DaysOnDietAtWeight12	DaysOnDietAtWeight13	DaysOnDietAtWeight14	DaysOnDietAtWeight15	DaysOnDietAtWeight16	DaysOnDietAtWeight17	DaysOnDietAtWeight18	DaysOnDietAtWeight19	DaysOnDietAtWeight20
1398	1398	BXD77	CD	F	Harvest	460	01/26/2014	02/28/2014	05/01/2015	33	11.3	02/28/2014	14.8	44	22.4	108	24.1	179	24.7	226	25.9	288	27.3	353	29.5	409																												03/11/2014	05/14/2014	07/24/2014	09/09/2014	11/10/2014	01/14/2015	03/11/2015														11	75	146	193	255	320	376													
2542	2542	BXD90	CD	F	Euthanized	1017	01/04/2016	02/05/2016	10/17/2018	32	12.9		14.2	44	21.5	121	23.2	177	27.8	249	25.9	324	24.7	387	26.1	437	25.6	498	24.5	576	21.9	653	22.4	715	19.7	779	20.2	843	18.5	891	18.6	968	16.4	1017										02/17/2016	05/04/2016	06/29/2016	09/09/2016	11/23/2016	01/25/2017	03/16/2017	05/16/2017	08/02/2017	10/18/2017	12/19/2017	02/21/2018	04/26/2018	06/13/2018	08/29/2018	10/17/2018					12	89	145	217	292	355	405	466	544	621	683	747	811	859	936	985				
2541	2541	BXD90	CD	F	Harvest	763	01/04/2016	02/05/2016	02/05/2018	32	13		13.6	44	22.7	121	24.5	177	28.8	249	25.7	324	24.1	387	25.4	437	24.9	498	24.8	576	22.5	653	22.5	715																				02/17/2016	05/04/2016	06/29/2016	09/09/2016	11/23/2016	01/25/2017	03/16/2017	05/16/2017	08/02/2017	10/18/2017	12/19/2017										12	89	145	217	292	355	405	466	544	621	683									
2549	2549	BXD6	CD	F	Natural	662	12/25/2015	02/05/2016	10/17/2017	42	17.9		20.5	54	24.8	131	26	187	28.7	259	28.9	333	30.2	397	29.1	447	26.7	508	22.2	586																								02/17/2016	05/04/2016	06/29/2016	09/09/2016	11/22/2016	01/25/2017	03/16/2017	05/16/2017	08/02/2017												12	89	145	217	291	355	405	466	544											
1401	1401	BXD99	CD	F	LowOutlier	118	01/15/2014	02/28/2014	05/13/2014	44	18.6	02/28/2014	17.3	55	19.7	118																																						03/11/2014	05/13/2014																			11	74																		
2553	2553	BXD28	CD	F	Natural	902	12/24/2015	02/05/2016	06/13/2018	43	17.4		19.5	55	26.2	132	33.2	188	35.4	259	38.7	334	38.4	398	36.7	448	38.2	509	36.4	587	31.9	664	30.1	726	28.1	790	26.2	855																02/17/2016	05/04/2016	06/29/2016	09/08/2016	11/22/2016	01/25/2017	03/16/2017	05/16/2017	08/02/2017	10/18/2017	12/19/2017	02/21/2018	04/27/2018								12	89	145	216	291	355	405	466	544	621	683	747	812							
2552	2552	BXD28	CD	F	Natural	918	12/24/2015	02/05/2016	06/29/2018	43	16.4		18.7	55	26.5	132	30.6	188	34.5	259	37.4	334	34.5	398	34.3	448	34.6	509	34.4	587	30.1	664	28	726	26.5	790	23.3	855	17.5	902														02/17/2016	05/04/2016	06/29/2016	09/08/2016	11/22/2016	01/25/2017	03/16/2017	05/16/2017	08/02/2017	10/18/2017	12/19/2017	02/21/2018	04/27/2018	06/13/2018							12	89	145	216	291	355	405	466	544	621	683	747	812	859						
2551	2551	BXD28	CD	F	Natural	798	12/24/2015	02/05/2016	03/01/2018	43	16.2		18	55	22.9	132	24.9	188	28.3	259	29.6	334	28.8	398	27.8	448	30.6	509	28.9	587	26.1	664	23.9	726	17.8	790																		02/17/2016	05/04/2016	06/29/2016	09/08/2016	11/22/2016	01/25/2017	03/16/2017	05/16/2017	08/02/2017	10/18/2017	12/19/2017	02/21/2018									12	89	145	216	291	355	405	466	544	621	683	747								
2554	2554	BXD28	CD	F	Natural	839	12/24/2015	02/05/2016	04/11/2018	43	16.2		18.6	55	28	132	28.5	188	31.2	259	34.6	334	35.1	398	35.2	448	36	509	34.5	587	27.5	664	25.3	726	21.9	790																		02/17/2016	05/04/2016	06/29/2016	09/08/2016	11/22/2016	01/25/2017	03/16/2017	05/16/2017	08/02/2017	10/18/2017	12/19/2017	02/21/2018									12	89	145	216	291	355	405	466	544	621	683	747								
2555	2555	BXD28	CD	F	Harvest	774	12/24/2015	02/05/2016	02/05/2018	43	15.5		18.4	55	24.7	132	26	188	30.3	259	31.3	334	30.1	398	31	448	30.2	509	30.3	587	26	664	25.7	726																				02/17/2016	05/04/2016	06/29/2016	09/08/2016	11/22/2016	01/25/2017	03/16/2017	05/16/2017	08/02/2017	10/18/2017	12/19/2017										12	89	145	216	291	355	405	466	544	621	683									
1402	1402	BXD99	CD	F	LowOutlier	75	01/15/2014	02/28/2014	03/31/2014	44	11	02/28/2014	14.4	55																																								03/11/2014																				11																			
2550	2550	BXD28	CD	F	LowOutlier	99	12/24/2015	02/05/2016	04/01/2016	43	14.7		16.5	55																																								02/17/2016																				12																			
2612	2612	BXD89	CD	F	Euthanized	655	07/15/2016	08/11/2016	05/01/2018	27	11		17	56	20.7	131	20.7	194	21.3	244	22.5	305	22.5	383	23.4	460	24.7	522	22.9	586	18.9	651																						09/09/2016	11/23/2016	01/25/2017	03/16/2017	05/16/2017	08/02/2017	10/18/2017	12/19/2017	02/21/2018	04/27/2018											29	104	167	217	278	356	433	495	559	624										
2611	2611	BXD89	CD	F	Natural	755	07/15/2016	08/11/2016	08/09/2018	27	12.3		17.3	56	20	131	22	194	23.7	244	23.5	305	23.7	460	23.5	522	24.8	586	24.8	651	23.1	698																						09/09/2016	11/23/2016	01/25/2017	03/16/2017	05/16/2017	10/18/2017	12/19/2017	02/21/2018	04/27/2018	06/13/2018											29	104	167	217	278	433	495	559	624	671										
2679	2679	BXD16	CD	F	Euthanized	862	01/16/2017	02/24/2017	05/28/2019	39	13.4		18.2	59	23.1	120	26.8	198	28.5	275	30.2	337	32.1	401	32.3	466	32.8	513	32.2	591	34.3	647	32.8	701	29.5	757	23.2	829																03/16/2017	05/16/2017	08/02/2017	10/18/2017	12/19/2017	02/21/2018	04/27/2018	06/13/2018	08/30/2018	10/25/2018	12/18/2018	02/12/2019	04/25/2019								20	81	159	236	298	362	427	474	552	608	662	718	790							
1391	1391	BXD45	CD	F	Harvest	384	01/11/2014	02/28/2014	01/30/2015	48	15.4	02/28/2014	17.3	59	20.4	122	22.6	193	22.1	240	22.2	303	23.6	368																														03/11/2014	05/13/2014	07/23/2014	09/08/2014	11/10/2014	01/14/2015															11	74	145	192	255	320														
1762	1392	BXD45	CD	F	Harvest	384	01/11/2014	02/28/2014	01/30/2015	48	16.8	02/28/2014	17.8	59	20.9	122	23.8	193	23.9	240	24.6	303																																03/11/2014	05/13/2014	07/23/2014	09/08/2014	11/10/2014																11	74	145	192	255															
2710	2710	BXD195	CD	F	Natural	1038	10/19/2017	12/07/2017	08/22/2020	49	16		17.6	61	21.3	125	23.8	190	23.3	238	24.8	315	26	371	25.6	426	26	484	25.1	554	24.1	602	22.7	681	23.6	734	23	790	21.8	840	23	900	21.1	972	18.8	1034								12/19/2017	02/21/2018	04/27/2018	06/14/2018	08/30/2018	10/25/2018	12/19/2018	02/15/2019	04/26/2019	06/13/2019	08/31/2019	10/23/2019	12/18/2019	02/06/2020	04/06/2020	06/17/2020	08/18/2020				12	76	141	189	266	322	377	435	505	553	632	685	741	791	851	923	985			
2712	2712	BXD195	CD	F	Natural	1054	10/19/2017	12/07/2017	09/07/2020	49	15		15.2	61	18.9	125	20.5	190	21.4	238	23.9	315	23.2	371	23.7	426	23.2	484	23.7	554	24.1	602	23.9	681	23	734	21.9	790	21.8	840	23	900	21.3	972	21.1	1034								12/19/2017	02/21/2018	04/27/2018	06/14/2018	08/30/2018	10/25/2018	12/19/2018	02/15/2019	04/26/2019	06/13/2019	08/31/2019	10/23/2019	12/18/2019	02/06/2020	04/06/2020	06/17/2020	08/18/2020				12	76	141	189	266	322	377	435	505	553	632	685	741	791	851	923	985			
2711	2711	BXD195	CD	F	Euthanized	840	10/19/2017	12/07/2017	02/06/2020	49	14.9		14.9	61	18	125	19.4	190	19.9	238	20.8	315	19.5	371	21.1	426	20.6	484	20.6	554	21.4	602	20.4	734	20.7	790	25.7	840																12/19/2017	02/21/2018	04/27/2018	06/14/2018	08/30/2018	10/25/2018	12/19/2018	02/15/2019	04/26/2019	06/13/2019	10/23/2019	12/18/2019	02/06/2020								12	76	141	189	266	322	377	435	505	553	685	741	791							
2713	2713	BXD195	CD	F	Euthanized	895	10/19/2017	12/07/2017	04/01/2020	49	16.8		17.9	61	21.1	125	23.5	190	24.6	238	27.1	315	27.3	371	27.4	426	28	484	27.7	554	27.8	602	26.6	734	26.2	790	24.2	840	22.8	895														12/19/2017	02/21/2018	04/27/2018	06/14/2018	08/30/2018	10/25/2018	12/19/2018	02/15/2019	04/26/2019	06/13/2019	10/23/2019	12/18/2019	02/06/2020	04/01/2020							12	76	141	189	266	322	377	435	505	553	685	741	791	846						
1791	1791	BXD24	CD	F	Harvest	205	07/09/2014	08/19/2014	01/30/2015	41	14	08/19/2014	16.7	62	21.8	124	24.7	189																																				09/09/2014	11/10/2014	01/14/2015																		21	83	148																	
1792	1792	BXD24	CD	F	Harvest	205	07/09/2014	08/19/2014	01/30/2015	41	14.2	08/19/2014	16.9	62	22.4	124																																						09/09/2014	11/10/2014																			21	83																		
1795	1795	BXD65b	CD	F	Natural	794	07/07/2014	08/19/2014	09/08/2016	43	15.5	08/19/2014	18.3	63	25	126	28.2	191	29.8	247	33.5	310	34.9	372	34.9	456	31.5	522	34.4	590	30.2	667	24.8	723	20.3	794																		09/08/2014	11/10/2014	01/14/2015	03/11/2015	05/13/2015	07/14/2015	10/06/2015	12/11/2015	02/17/2016	05/04/2016	06/29/2016	09/08/2016									20	83	148	204	267	329	413	479	547	624	680	751								
1793	1793	BXD65	CD	F	Harvest	527	07/07/2014	08/19/2014	12/16/2015	43	14.7	08/19/2014	18.5	63	24.2	126	28.2	191	30.1	247	34	310	31.4	372	30.7	456																												09/08/2014	11/10/2014	01/14/2015	03/11/2015	05/13/2015	07/14/2015	10/06/2015														20	83	148	204	267	329	413													
1794	1794	BXD65	CD	F	Harvest	527	07/07/2014	08/19/2014	12/16/2015	43	16.3	08/19/2014	20	63	26.5	126	33.9	191	37	247	39.8	310	43.8	372	44.8	456																												09/08/2014	11/10/2014	01/14/2015	03/11/2015	05/13/2015	07/14/2015	10/06/2015														20	83	148	204	267	329	413													
2321	2321	BXD171	CD	F	Natural	955	08/04/2015	09/09/2015	03/16/2018	36	18		25	63	33.8	129	40.1	197	48	274	44.8	330	36.4	402	30.8	476	29.2	540	31.2	590	33.2	651	25.9	729	21.9	806	20.9	868	20.6	932														10/06/2015	12/11/2015	02/17/2016	05/04/2016	06/29/2016	09/09/2016	11/22/2016	01/25/2017	03/16/2017	05/16/2017	08/02/2017	10/18/2017	12/19/2017	02/21/2018							27	93	161	238	294	366	440	504	554	615	693	770	832	896						
2602	2602	BXD170	CD	F	Natural	630	07/08/2016	08/11/2016	03/30/2018	34	15.1		21.7	63	29.8	137	31.6	201	30.2	251	34.5	312	32.9	390	24.7	467	25.8	529	25	593																								09/09/2016	11/22/2016	01/25/2017	03/16/2017	05/16/2017	08/02/2017	10/18/2017	12/19/2017	02/21/2018												29	103	167	217	278	356	433	495	559											
2600	2600	BXD170	CD	F	Natural	492	07/08/2016	08/11/2016	11/12/2017	34	14.7		19.5	63	24.6	137	26.5	201	27.2	251	28.5	312	24.8	390	17.8	467																												09/09/2016	11/22/2016	01/25/2017	03/16/2017	05/16/2017	08/02/2017	10/18/2017														29	103	167	217	278	356	433													
2598	2598	BXD77	CD	F	Natural	995	07/06/2016	08/11/2016	03/28/2019	36	10.9		16.5	64	19.9	139	20.7	203	22.8	253	23.4	314	22.4	392	21.6	469	21.3	531	21.1	595	22.2	658	22	707	22.4	784	20.4	841	17.3	895	15.8	951												09/08/2016	11/22/2016	01/25/2017	03/16/2017	05/16/2017	08/02/2017	10/18/2017	12/19/2017	02/21/2018	04/25/2018	06/13/2018	08/29/2018	10/25/2018	12/18/2018	02/12/2019						28	103	167	217	278	356	433	495	559	622	671	748	805	859	915					
2596	2596	BXD84	CD	F	Natural	404	07/05/2016	08/11/2016	08/13/2017	37	17.3		20.9	65	28.7	140	30.8	204	33	254	31.6	315	33.5	393																														09/08/2016	11/22/2016	01/25/2017	03/16/2017	05/16/2017	08/02/2017															28	103	167	217	278	356														
2677	2677	BXD16	CD	F	Euthanized	649	01/06/2017	02/24/2017	10/17/2018	49	17.1		19.3	69	23	130	27.3	208	26.7	285	28.1	347	28.7	412	26.7	476	26.3	524	23.4	601	24.2	649																						03/16/2017	05/16/2017	08/02/2017	10/18/2017	12/19/2017	02/22/2018	04/27/2018	06/14/2018	08/30/2018	10/17/2018											20	81	159	236	298	363	427	475	552	600										
2675	2675	BXD16	CD	F	Natural	629	01/06/2017	02/24/2017	09/27/2018	49	18.3		20	69	25.4	130	31.3	208	33.9	285	36.6	347	39.6	412	41.1	476	37.3	524	35.9	601																								03/16/2017	05/16/2017	08/02/2017	10/18/2017	12/19/2017	02/22/2018	04/27/2018	06/14/2018	08/30/2018												20	81	159	236	298	363	427	475	552											
2673	2673	BXD16	CD	F	Euthanized	647	01/06/2017	02/24/2017	10/15/2018	49	18.5		20.8	69	25.9	130	32.4	208	33.2	285	36.9	347	38.5	412	39.1	476	39.3	524	35.2	601																								03/16/2017	05/16/2017	08/02/2017	10/18/2017	12/19/2017	02/22/2018	04/27/2018	06/14/2018	08/30/2018												20	81	159	236	298	363	427	475	552											
2456	2456	BXD77	CD	F	Natural	931	12/10/2015	01/14/2016	06/28/2018	35	11.2		18.8	69	23.1	146	23.6	202	22.3	273	27	348	24.9	412	24.8	462	24.5	523	23.4	601	26.6	678	21.4	742	19.6	805	15.9	869	15.7	917														02/17/2016	05/04/2016	06/29/2016	09/08/2016	11/22/2016	01/25/2017	03/16/2017	05/16/2017	08/02/2017	10/18/2017	12/21/2017	02/22/2018	04/27/2018	06/14/2018							34	111	167	238	313	377	427	488	566	643	707	770	834	882						
2466	2466	BXD84	CD	F	Natural	554	12/09/2015	01/14/2016	06/15/2017	36	13.2		20.9	70	22.2	147	26.3	203	27.4	274	23.2	349	23.7	413	24.4	463	23.5	524																										02/17/2016	05/04/2016	06/29/2016	09/08/2016	11/22/2016	01/25/2017	03/16/2017	05/16/2017													34	111	167	238	313	377	427	488												
2318	2318	BXD168	CD	F	Natural	1006	07/23/2015	09/09/2015	04/24/2018	48	16.1		21	75	29.4	141	34.2	209	37.9	286	38.1	342	41.1	413	38	488	39	552	35.9	602	35.6	663	32.7	741	30.8	818	24	880	23	944														10/06/2015	12/11/2015	02/17/2016	05/04/2016	06/29/2016	09/08/2016	11/22/2016	01/25/2017	03/16/2017	05/16/2017	08/02/2017	10/18/2017	12/19/2017	02/21/2018							27	93	161	238	294	365	440	504	554	615	693	770	832	896						
2319	2319	BXD168	CD	F	Euthanized	823	07/23/2015	09/09/2015	10/23/2017	48	16.6		22.3	75	28.2	141	31.5	209	32.2	286	31.4	342	35.3	414	32.7	488	32.9	552	32	602	31.6	663	32.5	741	34.7	818																		10/06/2015	12/11/2015	02/17/2016	05/04/2016	06/29/2016	09/09/2016	11/22/2016	01/25/2017	03/16/2017	05/16/2017	08/02/2017	10/18/2017									27	93	161	238	294	366	440	504	554	615	693	770								
1786	1786	BXD65	CD	F	Harvest	541	06/23/2014	08/13/2014	12/16/2015	51	17.2		20.4	77	24.7	140	29.4	205	31.5	261	31.9	324	33.1	386	33.8	470																												09/08/2014	11/10/2014	01/14/2015	03/11/2015	05/13/2015	07/14/2015	10/06/2015														26	89	154	210	273	335	419													
1787	1787	BXD65	CD	F	Harvest	541	06/23/2014	08/13/2014	12/16/2015	51	15.8		19.4	77	23.1	140	25.9	205	27.9	261	29	324	30.5	386	27.9	470																												09/08/2014	11/10/2014	01/14/2015	03/11/2015	05/13/2015	07/14/2015	10/06/2015														26	89	154	210	273	335	419													
2776	2776	BXD75	CD	F	Euthanized	898	02/07/2018	03/27/2018	07/24/2020	48	16.6		19.3	78	20.4	126	21.6	203	21.9	260	22	314	22.8	373	20	442	20.9	489	21.5	568	17.8	622	18.2	678	18.5	729	19.7	789	17.6	898	18.4	861												04/26/2018	06/13/2018	08/29/2018	10/25/2018	12/18/2018	02/15/2019	04/25/2019	06/11/2019	08/29/2019	10/22/2019	12/17/2019	02/06/2020	04/06/2020	07/24/2020	06/17/2020						30	78	155	212	266	325	394	441	520	574	630	681	741	850	813					
2777	2777	BXD75	CD	F	Euthanized	898	02/07/2018	03/27/2018	07/24/2020	48	18.1		19.7	78	20.9	126	21.2	203	22.1	260	21.8	314	22.5	373	21.2	442	21.9	489	21.4	568	20.3	622	21.8	678	20.5	729	21.4	789	18.3	898	19.6	861												04/26/2018	06/13/2018	08/29/2018	10/25/2018	12/18/2018	02/15/2019	04/25/2019	06/11/2019	08/29/2019	10/22/2019	12/17/2019	02/06/2020	04/06/2020	07/24/2020	06/17/2020						30	78	155	212	266	325	394	441	520	574	630	681	741	850	813					
2852	2852	BXD1	CD	F	Euthanized	620	06/11/2018	07/23/2018	02/21/2020	42	16.6		18.6	79	22.4	136	22.2	190	23.2	246	25.5	318	25.1	365	26.8	445	29.5	499	28.6	555	22.5	606																						08/29/2018	10/25/2018	12/18/2018	02/12/2019	04/25/2019	06/11/2019	08/30/2019	10/23/2019	12/18/2019	02/07/2020											37	94	148	204	276	323	403	457	513	564										
2855	2855	BXD5	CD	F	Euthanized	491	06/11/2018	07/23/2018	10/15/2019	42	18.5		23	79	27	136	28.3	190	31.6	246	29	318	29.3	365	29.2	444																												08/29/2018	10/25/2018	12/18/2018	02/12/2019	04/25/2019	06/11/2019	08/29/2019														37	94	148	204	276	323	402													
2854	2854	BXD5	CD	F	Natural	427	06/11/2018	07/23/2018	08/12/2019	42	19.4		26.4	79	27.9	136	29.7	190	32.8	246	32.6	318	34.2	365																														08/29/2018	10/25/2018	12/18/2018	02/12/2019	04/25/2019	06/11/2019															37	94	148	204	276	323														
1822	1822	BXD44	CD	F	Harvest	240	08/23/2014	10/22/2014	04/20/2015	60	16.3	10/22/2014	17.1	79	19.2	144	20.7	200																																				11/10/2014	01/14/2015	03/11/2015																		19	84	140																	
1823	1823	BXD44	CD	F	Harvest	240	08/23/2014	10/22/2014	04/20/2015	60	15.7	10/22/2014	17.8	79	21.7	144	23.5	200																																				11/10/2014	01/14/2015	03/11/2015																		19	84	140																	
2856	2856	BXD5	CD	F	Natural	462	06/11/2018	07/23/2018	09/16/2019	42	17.1		20.6	79	26.1	190	27	246	29.7	318	27.9	365	26.2	444																														08/29/2018	12/18/2018	02/12/2019	04/25/2019	06/11/2019	08/29/2019															37	148	204	276	323	402														
2607	2607	BXD86	CD	F	Euthanized	946	06/20/2016	08/11/2016	01/22/2019	52	15.4		17.3	80	20.2	155	23.1	219	22.6	269	25.9	330	26.7	408	23.2	485	28.2	547	27.9	611	27.9	675	28.2	723	23.6	800	20.6	857	21	911														09/08/2016	11/22/2016	01/25/2017	03/16/2017	05/16/2017	08/02/2017	10/18/2017	12/19/2017	02/21/2018	04/26/2018	06/13/2018	08/29/2018	10/25/2018	12/18/2018							28	103	167	217	278	356	433	495	559	623	671	748	805	859						
2448	2448	BXD8	CD	F	Natural	557	09/20/2015	11/06/2015	03/30/2017	47	16.2		21	81	27.6	150	28.3	227	30.4	283	32.5	354	32	429	30.5	493	29.4	543																										12/10/2015	02/17/2016	05/04/2016	06/29/2016	09/08/2016	11/22/2016	01/25/2017	03/16/2017													34	103	180	236	307	382	446	496												
2447	2447	BXD8	CD	F	Natural	224	09/20/2015	11/06/2015	05/01/2016	47	16.3		22.6	81	27.3	150																																						12/10/2015	02/17/2016																			34	103																		
1521	1521	BXD29	CD	F	Harvest	431	02/22/2014	04/11/2014	04/29/2015	48	16.6	04/11/2014	21.4	81	27.9	152	30.4	199	31.9	261	32.8	326	31.9	382																														05/14/2014	07/24/2014	09/09/2014	11/10/2014	01/14/2015	03/11/2015															33	104	151	213	278	334														
1486	1486	BXD70	CD	F	Harvest	434	02/21/2014	04/11/2014	05/01/2015	49	12.2	04/11/2014	17	81	22.3	152	24.5	199	24.9	262	27.1	327	23.8	383																														05/13/2014	07/23/2014	09/08/2014	11/10/2014	01/14/2015	03/11/2015															32	103	150	213	278	334														
1487	1487	BXD70	CD	F	Harvest	434	02/21/2014	04/11/2014	05/01/2015	49	14.9	04/11/2014	20.6	81	28.3	152	27.7	199	29	262	32.3	327	34.7	383																														05/13/2014	07/23/2014	09/08/2014	11/10/2014	01/14/2015	03/11/2015															32	103	150	213	278	334														
1491	1491	BXD70	CD	F	Harvest	434	02/21/2014	04/11/2014	05/01/2015	49	15.8	04/11/2014	17.5	81	20.8	152	19.8	199	20	262	20.5	327	19.5	386																														05/13/2014	07/23/2014	09/08/2014	11/10/2014	01/14/2015	03/14/2015															32	103	150	213	278	337														
